Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3.5mm 3ft","3.5mm Patch Cable ",1,4.99,"https://www.amazon.com/Ruaeoda-Braided-Headphones-Stereos-Speakers/dp/B0B3TSDF9S","Amazon"
"2.5mm 3ft","2.5mm Patch Cable",1,6.97,"https://www.amazon.com/YCS-Basics-2-5mm-Conductor-Audio/dp/B00FHBWQ2W","Amazon"
"LM-NP-1001-B1L","600:600 XFMR C5361839",2,8.65,"https://www.lcsc.com/product-detail/C5361839.html","LCSC"
"SHOU HAN PJ-320A-4P DIP","3.5mm TRRS C18185602",10,0.55,"https://www.lcsc.com/product-detail/C18185602.html","LCSC"
"SHOU HAN PJ-313 5JCJ","3.5mm TRS C668607",5,0.56,"https://www.lcsc.com/product-detail/C668607.html","LCSC"
"SHOU HAN PJ-210 3P","2.5mm TRS C668602",5,0.43,"https://www.lcsc.com/product-detail/C668602.html","LCSC"
"UNI-ROYAL 0603WAF2201T5E","R0603 2.2K C4190",100,0.15,"https://www.lcsc.com/product-detail/C4190.html","LCSC"
"PCB","FR4 2 Layer",5,2.10,"https://jlcpcb.com","JLCPCB"
"Plantronics QD to TRRS","Plantronics QD Adapter",1,12.90,"https://www.amazon.com/Headset-Adapter-Compatible-Plantronics-Smartphone/dp/B0CFKS1XV2?th=1","Amazon"
